geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
																		'MAP3K14'	0.25			
																		'MED20'	0.25			
																		'NAALADL1'	0.25			
																		'DHFRL1'	0.25			
																		'PPTC7'	0.25			
																		'KLHDC8B'	0.25			
																		'PDZD2'	0.25			
																		'JADE1'	0.25			
																		'HUS1'	0.25			
																		'TECR'	0.25			
																		'OTUD7B'	0.25			
																		'DEF8'	0.25			
																		'WIBG'	0.25			
																		'IFT22'	0.25			
																		'TSPAN9'	0.25			
																		'UBE2H'	0.25			
																		'DNMT1'	0.25			
																		'CDCP1'	0.25			
																		'RPL13P5'	0.25			
																		'TSC22D2'	0.25			
																		'ZFP90'	0.25			
																		'FBXW4'	0.25			
																		'HDAC6'	0.25			
																		'LHFPL4'	0.25			
																		'EPB41L3'	0.25			
																		'CARD10'	0.25			
																		'EIF2AK2'	0.25			
																		'STK10'	0.25			
																		'RANBP10'	0.25			
																		'PTPLA'	0.25			
																		'TRIM25'	0.25			
																		'GEMIN4'	0.25			
																		'STC2'	0.25			
																		'ST7'	0.25			
																		'TMEM236.uid_13752'	0.25			
																		'RBM15'	0.25			
																		'TCTA'	0.25			
																		'STK17A'	0.25			
																		'CAHM'	0.25			
																		'MOCS1'	0.25			
																		'LOC389765'	0.25			
																		'CLK2'	0.25			
																		'EDEM2'	0.25			
																		'PAN2'	0.25			
																		'C1orf228'	0.25			
																		'CNDP2'	0.25			
																		'KMT2E-AS1'	0.25			
																		'FAM163A'	0.25			
																		'KLHL9'	0.25			
																		'UCN3'	0.25			
																		'TRIM52-AS1'	0.25			
																		'ZRSR2'	0.25			
																		'ZMYND12'	0.25			
																		'TNKS1BP1'	0.25			
																		'C3orf80'	0.25			
																		'TK2'	0.25			
																		'TSNARE1'	0.25			
																		'NCOA5'	0.25			
																		'ARHGEF16'	0.25			
																		'SNHG15'	0.25			
																		'TBL2'	0.25			
																		'ELL'	0.25			
																		'CBS'	0.25			
																		'GCH1'	0.25			
																		'EMC6'	0.25			
																		'CLIP1'	0.25			
																		'NTRK2'	0.25			
																		'SPATA6L'	0.25			
																		'RAD23B'	0.25			
																		'AP5S1'	0.25			
																		'LOC100131564'	0.25			
																		'CD40'	0.25			
																		'CCHCR1'	0.25			
																		'SMEK1'	0.25			
																		'MPP7'	0.25			
																		'DENND5B'	0.25			
																		'ZNF767P'	0.25			
																		'TTLL1'	0.25			
																		'MIR4640'	0.25			
																		'FCHSD2'	0.25			
																		'REL'	0.25			
																		'SPAG4'	0.25			
																		'KIZ'	0.25			
																		'PCBD2'	0.25			
																		'RNF157'	0.25			
																		'CTXN1'	0.25			
																		'MAP7D3'	0.25			
																		'SLC25A16'	0.25			
																		'DTX2'	0.25			
																		'TCEAL2'	0.25			
																		'NDUFA6-AS1'	0.25			
																		'HEBP1'	0.25			
																		'HAUS5'	0.25			
																		'CTC1'	0.25			
																		'FABP5'	0.25			
																		'YIF1B'	0.25			
																		'AGO3'	0.25			
																		'PCAT6'	0.25			
																		'ZNF628'	0.25			
																		'XPR1'	0.25			
																		'SATB1'	0.25			
																		'UNC13A'	0.25			
																		'POU2F1'	0.25			
																		'NTAN1'	0.25			
																		'ERMARD'	0.25			
																		'NTMT1'	0.25			
																		'GRIA3'	0.25			
																		'EPAS1'	0.25			
																		'SNAP47'	0.25			
																		'LYRM4'	0.25			
																		'QTRTD1'	0.25			
																		'OSER1-AS1'	0.25			
																		'COA6'	0.25			
																		'BICD2'	0.25			
																		'SLAIN2'	0.25			
																		'EMC9'	0.25			
																		'COQ2'	0.25			
																		'PTPRF'	0.25			
																		'BTN3A1'	0.25			
																		'GCNT1'	0.25			
																		'CKMT1B'	0.25			
																		'THAP3'	0.25			
																		'BMPR2'	0.25			
																		'MAFF'	0.25			
																		'ZNF460'	0.25			
																		'ZNF326'	0.25			
																		'TMED4'	0.25			
																		'OSBPL11'	0.25			
																		'OGG1'	0.25			
																		'LOC101928062'	0.25			
																		'LOC100289019'	0.25			
																		'PHKA2'	0.25			
																		'UNC80'	0.25			
																		'POLM'	0.25			
																		'CDH22'	0.25			
																		'ELOVL6'	0.25			
																		'FAR2P2'	0.25			
																		'YTHDF3-AS1'	0.25			
																		'FAM193B'	0.25			
																		'RBM38'	0.25			
																		'MTMR3'	0.25			
																		'SP2'	0.25			
																		'RARRES3'	0.25			
																		'RPS6KC1'	0.25			
																		'LOC283335'	0.25			
																		'ATP10D'	0.25			
																		'UTRN'	0.25			
																		'POLR1B'	0.25			
																		'RBFOX2'	0.25			
																		'CA8'	0.25			
																		'FOXN3-AS1'	0.25			
																		'NMNAT1'	0.25			
																		'FBXL4'	0.25			
																		'USP27X'	0.25			
																		'C2orf81'	0.25			
																		'MIR4749'	0.25			
																		'USP18'	0.25			
																		'MRGBP'	0.25			
																		'RPP25L'	0.25			
																		'HLF'	0.25			
																		'VPS33B'	0.25			
																		'NECAB2'	0.25			
																		'GATSL3'	0.25			
																		'ZCCHC18'	0.25			
																		'ACTR3B'	0.25			
																		'JMJD6'	0.25			
																		'UBE2E1'	0.25			
																		'HINFP'	0.25			
																		'B4GALNT4'	0.25			
																		'PGAP2'	0.25			
																		'KRI1'	0.25			
																		'SPA17'	0.25			
																		'PRDM16'	0.25			
																		'LRIG2'	0.25			
																		'CDC16'	0.25			
																		'TFAM'	0.25			
																		'FAM200A'	0.25			
																		'RIPPLY2'	0.25			
																		'CTNNBL1'	0.25			
																		'DMTF1'	0.25			
																		'ZFHX3'	0.25			
																		'LRRC8A'	0.25			
																		'C15orf37'	0.25			
																		'ZCCHC8'	0.25			
																		'SUCLG2-AS1'	0.25			
																		'PRPF38A'	0.25			
																		'ATP1A3'	0.25			
																		'DIRC2'	0.25			
																		'ARL10'	0.25			
																		'RNF207'	0.25			
																		'PRTFDC1'	0.25			
																		'PLEKHA3'	0.25			
																		'PARP3'	0.25			
																		'SSSCA1'	0.24			
																		'PCNXL4'	0.24			
																		'LCMT2'	0.24			
																		'CMTM7'	0.24			
																		'MCMBP'	0.24			
																		'HSDL1'	0.24			
																		'TSC1'	0.24			
																		'BBC3'	0.24			
																		'DSCAML1'	0.24			
																		'FLT3LG'	0.24			
																		'LANCL2'	0.24			
																		'AKAP1'	0.24			
																		'BTBD3'	0.24			
																		'RAF1'	0.24			
																		'MARCH2'	0.24			
																		'KCNA6'	0.24			
																		'RAB9B'	0.24			
																		'ARHGAP33'	0.24			
																		'TMEM177'	0.24			
																		'ANKS1A'	0.24			
																		'ZNF630'	0.24			
																		'ZNF717'	0.24			
																		'TMEM220'	0.24			
																		'CLTA'	0.24			
																		'CHCHD1'	0.24			
																		'STX12'	0.24			
																		'NBPF3'	0.24			
																		'RAI2'	0.24			
																		'UGDH-AS1'	0.24			
																		'CNKSR1'	0.24			
																		'C14orf28'	0.24			
																		'CCKBR'	0.24			
																		'HMHA1'	0.24			
																		'METTL6'	0.24			
																		'ZNF853'	0.24			
																		'ZNF836'	0.24			
																		'MRPL44'	0.24			
																		'RBMX2'	0.24			
																		'CARD11'	0.24			
																		'GUSBP11'	0.24			
																		'CCSAP'	0.24			
																		'WNK2'	0.24			
																		'FTO'	0.24			
																		'MYO5C'	0.24			
																		'NT5C2'	0.24			
																		'PITPNC1'	0.24			
																		'SNRPB'	0.24			
																		'IFI27L1'	0.24			
																		'SUMO3'	0.24			
																		'CUEDC2'	0.24			
																		'CCDC85C'	0.24			
																		'LOC100131655'	0.24			
																		'C11orf74'	0.24			
																		'ZNF7'	0.24			
																		'NUDT2'	0.24			
																		'LOC220729'	0.24			
																		'PUS7L'	0.24			
																		'MAD1L1'	0.24			
																		'HPS5'	0.24			
																		'ZNF618'	0.24			
																		'ADNP2'	0.24			
																		'PEX5'	0.24			
																		'UHMK1'	0.24			
																		'PTPRN2'	0.24			
																		'RIC3'	0.24			
																		'WNK1'	0.24			
																		'RBM28'	0.24			
																		'HS2ST1'	0.24			
																		'CCR10'	0.24			
																		'DNASE1'	0.24			
																		'ADCY5'	0.24			
																		'NRIP1'	0.24			
																		'PPP2R2C'	0.24			
																		'SNX5'	0.24			
																		'MEST'	0.24			
																		'RTBDN'	0.24			
																		'PRPF38B'	0.24			
																		'GOLGA3'	0.24			
																		'RNF138'	0.24			
																		'HCN2'	0.24			
																		'TCEB3'	0.24			
																		'RPL41'	0.24			
																		'MTMR14'	0.24			
																		'PPP1R9B'	0.24			
																		'SAMD1'	0.24			
																		'NEK4'	0.24			
																		'MTMR7'	0.24			
																		'UBXN7'	0.24			
																		'SIM1'	0.24			
																		'TUSC2'	0.24			
																		'RB1CC1'	0.24			
																		'GOLGA8B'	0.24			
																		'ARSD'	0.24			
																		'SAV1'	0.24			
																		'PTPN13'	0.24			
																		'GMPR2'	0.24			
																		'ACYP2'	0.24			
																		'STK32C'	0.24			
																		'ESRRG'	0.24			
																		'UPF3A'	0.24			
																		'SAE1'	0.24			
																		'GPD1L'	0.24			
																		'DENND3'	0.24			
																		'SGPP1'	0.24			
																		'GTPBP10'	0.24			
																		'TFPT'	0.24			
																		'SLC25A36'	0.24			
																		'EFNB1'	0.24			
																		'LOC101928303'	0.24			
																		'SCO1'	0.24			
																		'PLEKHA6'	0.24			
																		'PDE8A'	0.24			
																		'ANO8'	0.24			
																		'STOX2'	0.24			
																		'POPDC3'	0.24			
																		'HES4'	0.24			
																		'ZSWIM4'	0.24			
																		'WIPF3'	0.24			
																		'CYBA'	0.24			
																		'SFPQ'	0.24			
																		'LOC100507217'	0.24			
																		'LOC645513'	0.24			
																		'SPIRE2'	0.24			
																		'HTRA1'	0.24			
																		'KDM5B'	0.24			
																		'FRS3'	0.24			
																		'NRBP2'	0.24			
																		'NAA30'	0.24			
																		'NELFCD'	0.24			
																		'LOC100131691'	0.24			
																		'SYNRG'	0.24			
																		'KL'	0.24			
																		'SOD3'	0.24			
																		'OS9'	0.24			
																		'IKZF4'	0.24			
																		'PANX1'	0.24			
																		'POLD3'	0.24			
																		'FAM107B'	0.24			
																		'LYST'	0.24			
																		'CPEB3'	0.24			
																		'POLR2M'	0.24			
																		'CNP'	0.24			
																		'RPA3OS'	0.24			
																		'CSRNP2'	0.24			
																		'BTN2A1'	0.24			
																		'NCMAP'	0.24			
																		'REM2'	0.24			
																		'GZF1'	0.24			
																		'ZXDB'	0.24			
																		'TMEM74B'	0.24			
																		'ZNF783'	0.24			
																		'DOLK'	0.24			
																		'LINC00963'	0.24			
																		'ZNF668'	0.24			
																		'C1D'	0.24			
																		'NOL10'	0.24			
																		'SNIP1'	0.24			
																		'GYG2'	0.24			
																		'NOL8'	0.24			
																		'PPP1R11'	0.24			
																		'HMGXB4'	0.24			
																		'MTOR'	0.24			
																		'LOC729970'	0.24			
																		'LMAN2L'	0.24			
																		'RPTOR'	0.24			
																		'TEX2'	0.24			
																		'ARHGEF1'	0.24			
																		'KRBA1'	0.24			
																		'PJA1'	0.24			
																		'NAPEPLD'	0.24			
																		'RASSF1'	0.24			
																		'FOCAD'	0.24			
																		'CLUAP1'	0.24			
																		'KLC3'	0.24			
																		'PLSCR4'	0.24			
																		'WAC-AS1'	0.24			
																		'BTG1'	0.24			
																		'SLC9A6'	0.24			
																		'SULT4A1'	0.24			
																		'DGKQ'	0.24			
																		'LOC100505942'	0.24			
																		'PPM1H'	0.24			
																		'KDM5A'	0.24			
																		'MORC4'	0.24			
																		'THAP2'	0.24			
																		'ATXN7L3B'	0.24			
																		'MGC57346'	0.24			
																		'NLGN4Y'	0.24			
																		'GALNT12'	0.24			
																		'MAPK4'	0.24			
																		'LOC730183'	0.24			
																		'TMEM43'	0.24			
																		'UVSSA'	0.24			
																		'MINA'	0.24			
																		'TERC'	0.24			
																		'PRKCH'	0.24			
																		'UBE4B'	0.24			
																		'CREB3L1'	0.24			
																		'PDK1'	0.24			
																		'PDE6B'	0.24			
																		'HIST1H2BD'	0.24			
																		'FYN'	0.24			
																		'KIAA0355'	0.24			
																		'ZDHHC4'	0.24			
																		'RNF32'	0.24			
																		'ATXN7L2'	0.24			
																		'KIAA1715'	0.24			
																		'HS6ST1'	0.24			
																		'RALGPS2'	0.24			
																		'FARS2'	0.24			
																		'COX10'	0.24			
																		'RNF8'	0.24			
																		'WDR81'	0.24			
																		'RUFY1'	0.24			
																		'CCDC149'	0.24			
																		'UNKL'	0.24			
																		'C14orf132'	0.24			
																		'GSTM4'	0.24			
																		'EARS2'	0.24			
																		'PIANP'	0.24			
																		'ACOT11'	0.24			
																		'DDX42'	0.24			
																		'RAB11FIP4'	0.24			
																		'DDX10'	0.24			
																		'FKBPL'	0.24			
																		'BTBD1'	0.24			
																		'LSM10'	0.24			
																		'AVEN'	0.24			
																		'SCAMP3'	0.24			
																		'ARIH1'	0.24			
																		'ARNT2'	0.24			
																		'TLE4'	0.24			
																		'SOWAHA'	0.24			
																		'SHPK'	0.24			
																		'CYTH3'	0.24			
																		'LARS2'	0.24			
																		'TMEM196'	0.24			
																		'GUCY1A3'	0.24			
																		'ARMCX6'	0.24			
																		'ACBD5'	0.24			
																		'SPAST'	0.24			
																		'FAM21C'	0.24			
																		'IGFBPL1'	0.24			
																		'ALKBH3'	0.24			
																		'PPP1R12B'	0.24			
																		'PPIA'	0.24			
																		'TFF3'	0.24			
																		'TP53RK'	0.24			
																		'BAHCC1'	0.24			
																		'PRPS1'	0.24			
																		'HAAO'	0.24			
																		'SDCCAG3'	0.24			
																		'TOE1'	0.24			
																		'RPL19P12'	0.24			
																		'ATP5SL'	0.24			
																		'MYO18A'	0.24			
																		'LSM14B'	0.24			
																		'XXYLT1'	0.24			
																		'VASH1'	0.24			
																		'ERO1L'	0.24			
																		'RHBDF2'	0.24			
																		'RYBP'	0.24			
																		'RNF5P1.uid_10791'	0.24			
																		'DHRS4-AS1'	0.24			
																		'PHLDB1'	0.24			
																		'ARHGEF35'	0.24			
																		'MAPK14'	0.24			
																		'THTPA'	0.24			
																		'FSTL3'	0.24			
																		'MED12'	0.24			
																		'CEP85L'	0.24			
																		'FAM20C'	0.24			
																		'SLC12A7'	0.24			
																		'PTPRM'	0.24			
																		'MFSD9'	0.24			
																		'KIAA1551'	0.24			
																		'KIF16B'	0.24			
																		'CLSTN2'	0.24			
																		'DIS3'	0.24			
																		'GRK4'	0.24			
																		'YARS'	0.24			
																		'SMAD4'	0.24			
																		'FIBP'	0.24			
																		'ACOT7'	0.24			
																		'PALLD'	0.24			
																		'HDAC4'	0.24			
																		'CAMK2N2'	0.24			
																		'MFI2-AS1'	0.24			
																		'CAPN7'	0.24			
																		'KIAA1432'	0.24			
																		'PTP4A2'	0.24			
																		'HOXB2'	0.24			
																		'ABCC5'	0.24			
																		'SMIM6'	0.24			
																		'SMG7'	0.24			
																		'MSRB1'	0.24			
																		'MCU'	0.24			
																		'PTDSS1'	0.24			
																		'EIF1'	0.24			
																		'LOC283683'	0.24			
																		'PDE4D'	0.24			
																		'ANP32B'	0.24			
																		'SEMA4D'	0.24			
																		'MAST3'	0.24			
																		'NHLRC3'	0.24			
																		'COG4'	0.24			
																		'HSDL2'	0.24			
																		'MNX1-AS1'	0.24			
																		'NOMO2'	0.24			
																		'CIB1'	0.24			
																		'MARVELD3'	0.24			
																		'C11orf57'	0.24			
																		'LRRC36'	0.24			
																		'UBQLN4'	0.24			
																		'USP30'	0.24			
																		'MTHFD2L'	0.24			
																		'CACTIN'	0.24			
																		'C9orf3'	0.24			
																		'KIAA1549L'	0.24			
																		'HIST1H4C'	0.24			
																		'LINC00910'	0.24			
																		'PNMA1'	0.24			
																		'CBLC'	0.24			
																		'LINC00909'	0.24			
																		'DPH5'	0.24			
																		'OTUD3'	0.24			
																		'ELK4'	0.24			
																		'EVA1A'	0.24			
																		'ZBED4'	0.24			
																		'DOK1'	0.24			
																		'ABCC8'	0.24			
																		'GAR1'	0.24			
																		'GTPBP2'	0.24			
																		'SOCS7'	0.24			
																		'SNAPC3'	0.24			
																		'KCTD21'	0.24			
																		'TMEM44'	0.24			
																		'ARHGAP32'	0.24			
																		'PPP1R3E'	0.24			
																		'KDM4C'	0.24			
																		'ZKSCAN5'	0.24			
																		'HLA-F'	0.24			
																		'MFI2'	0.24			
																		'PRDM2'	0.24			
																		'ZNF407'	0.24			
																		'COPS3'	0.24			
																		'CYP27A1'	0.24			
																		'DIRAS3'	0.24			
																		'KAT6A'	0.24			
																		'ERCC8'	0.24			
																		'IGBP1'	0.24			
																		'RBM19'	0.24			
																		'CMTM4'	0.24			
																		'ZC3H8'	0.24			
																		'ZBTB25'	0.24			
																		'MRAS'	0.24			
																		'TMEM147'	0.23			
																		'EFCAB12'	0.23			
																		'NHEJ1'	0.23			
																		'ZBTB34'	0.23			
																		'RGL1'	0.23			
																		'CEP85'	0.23			
																		'FAM184A'	0.23			
																		'MCPH1'	0.23			
																		'PAGR1'	0.23			
																		'UBE2D1'	0.23			
																		'LZTS3'	0.23			
																		'DYRK2'	0.23			
																		'MRPL34'	0.23			
																		'MYOZ1'	0.23			
																		'PPM1L'	0.23			
																		'DIP2B'	0.23			
																		'LRP6'	0.23			
																		'ARL2BP'	0.23			
																		'HIRIP3'	0.23			
																		'TRMT10B'	0.23			
																		'SLMAP'	0.23			
																		'MYO15B'	0.23			
																		'ING2'	0.23			
																		'NOMO1'	0.23			
																		'BMP8B'	0.23			
																		'COQ6'	0.23			
																		'TRIM46'	0.23			
																		'IMMP2L'	0.23			
																		'MAGI2-AS3'	0.23			
																		'UBA2'	0.23			
																		'DDB1'	0.23			
																		'STX16'	0.23			
																		'SSSCA1-AS1'	0.23			
																		'DUSP23'	0.23			
																		'MALSU1'	0.23			
																		'TTLL3'	0.23			
																		'LOC102724316'	0.23			
																		'RIPK1'	0.23			
																		'ZNF512B'	0.23			
																		'NSDHL'	0.23			
																		'KPNA3'	0.23			
																		'CCDC183-AS1'	0.23			
																		'KIF13A'	0.23			
																		'KDM3A'	0.23			
																		'IMP4'	0.23			
																		'FAM84A'	0.23			
																		'UBE2F'	0.23			
																		'TOB1-AS1'	0.23			
																		'GIPR'	0.23			
																		'EBLN3'	0.23			
																		'SUGP2'	0.23			
																		'PYCRL'	0.23			
																		'THNSL2'	0.23			
																		'FANCF'	0.23			
																		'TACC2'	0.23			
																		'NPRL2'	0.23			
																		'CYTH1'	0.23			
																		'TMEM164'	0.23			
																		'GMIP'	0.23			
																		'PBX2'	0.23			
																		'VPS8'	0.23			
																		'ZNF91'	0.23			
																		'DUSP4'	0.23			
																		'SNORA44'	0.23			
																		'ANKRD46'	0.23			
																		'PCYT1A'	0.23			
																		'DDX31'	0.23			
																		'SECISBP2'	0.23			
																		'FOXK2'	0.23			
																		'STRA13'	0.23			
																		'AATF'	0.23			
																		'MTR'	0.23			
																		'AGPAT5'	0.23			
																		'H1FX-AS1'	0.23			
																		'DNAJC7'	0.23			
																		'BCKDHB'	0.23			
																		'CARS'	0.23			
																		'LOC642852'	0.23			
																		'RAB28'	0.23			
																		'LOXL1-AS1'	0.23			
																		'SOX5'	0.23			
																		'ABLIM1'	0.23			
																		'TRAM2-AS1'	0.23			
																		'PRKCI'	0.23			
																		'CTSB'	0.23			
																		'IKBKG'	0.23			
																		'WDR7'	0.23			
																		'ZBTB4'	0.23			
																		'ZSWIM5'	0.23			
																		'IRF9'	0.23			
																		'TBC1D2B'	0.23			
																		'RSBN1'	0.23			
																		'MED19'	0.23			
																		'SLC22A18'	0.23			
																		'ZC3H10'	0.23			
																		'TMCO6'	0.23			
																		'LINC00938'	0.23			
																		'CPNE4'	0.23			
																		'LCMT1'	0.23			
																		'CDKN2AIPNL'	0.23			
																		'ZNF268'	0.23			
																		'SORBS1'	0.23			
																		'GOLPH3'	0.23			
																		'LINC00884'	0.23			
																		'CTBP2'	0.23			
																		'RPL9'	0.23			
																		'ADCY9'	0.23			
																		'MMP24'	0.23			
																		'PLEKHB1'	0.23			
																		'ZNF837'	0.23			
																		'SEC61A2'	0.23			
																		'FAM20B'	0.23			
																		'PGR'	0.23			
																		'TTC17'	0.23			
																		'SPATA5L1'	0.23			
																		'GALNT11'	0.23			
																		'IFT43'	0.23			
																		'TNK1'	0.23			
																		'CORO1C'	0.23			
																		'CRAMP1L'	0.23			
																		'CNOT6L'	0.23			
																		'NUP153'	0.23			
																		'CNTN4'	0.23			
																		'C15orf40'	0.23			
																		'SLC9A7'	0.23			
																		'TINF2'	0.23			
																		'PAFAH2'	0.23			
																		'UHRF2'	0.23			
																		'KPTN'	0.23			
																		'CCDC110'	0.23			
																		'LOC102577424'	0.23			
																		'INPP5F'	0.23			
																		'NFU1'	0.23			
																		'CD44'	0.23			
																		'MFSD4'	0.23			
																		'CD320'	0.23			
																		'PTPRU'	0.23			
																		'RASGEF1A'	0.23			
																		'BACE1'	0.23			
																		'HOMER2'	0.23			
																		'MRPS35'	0.23			
																		'CCNY'	0.23			
																		'FBXO34'	0.23			
																		'DNAJC27-AS1'	0.23			
																		'SNHG21'	0.23			
																		'ZNF529'	0.23			
																		'FOXRED1'	0.23			
																		'TRRAP'	0.23			
																		'APEX2'	0.23			
																		'PPP2R5D'	0.23			
																		'DACT2'	0.23			
																		'TRIM2'	0.23			
																		'PANK3'	0.23			
																		'ZNF621'	0.23			
																		'PECR'	0.23			
																		'MFN1'	0.23			
																		'MMRN1'	0.23			
																		'KLHDC9'	0.23			
																		'SEPHS1'	0.23			
																		'ZNF814'	0.23			
																		'MAVS'	0.23			
																		'CCDC28B'	0.23			
																		'LINC00174'	0.23			
																		'SYNE1'	0.23			
																		'GLUD1P3'	0.23			
																		'PRUNE'	0.23			
																		'SUGP1'	0.23			
																		'PHF20L1'	0.23			
																		'SUMF1'	0.23			
																		'G2E3'	0.23			
																		'MAGEH1'	0.23			
																		'FAM199X'	0.23			
																		'HSF2'	0.23			
																		'ENHO'	0.23			
																		'SPTAN1'	0.23			
																		'C11orf71'	0.23			
																		'MAPK1'	0.23			
																		'ESYT1'	0.23			
																		'TBC1D8B'	0.23			
																		'KSR2'	0.23			
																		'HDDC3'	0.23			
																		'SLC12A4'	0.23			
																		'SEL1L3'	0.23			
																		'KIF9'	0.23			
																		'RIMS2'	0.23			
																		'SAFB'	0.23			
																		'KLHL17'	0.23			
																		'TRPV1'	0.23			
																		'CORO2B'	0.23			
																		'DDB2'	0.23			
																		'ATAD2'	0.23			
																		'MPRIP'	0.23			
																		'PIM1'	0.23			
																		'BUD13'	0.23			
																		'CENPC'	0.23			
																		'SNX33'	0.23			
																		'ATF3'	0.23			
																		'SACS'	0.23			
																		'GSTK1'	0.23			
																		'GYG1'	0.23			
																		'TSC22D3'	0.23			
																		'TPPP3'	0.23			
																		'RSPH1'	0.23			
																		'PLCG1'	0.23			
																		'MSI1'	0.23			
																		'MBOAT2'	0.23			
																		'MAML3'	0.23			
																		'COX16'	0.23			
																		'ALKBH2'	0.23			
																		'TTR'	0.23			
																		'RNF103'	0.23			
																		'CDKN2D'	0.23			
																		'TSEN15'	0.23			
																		'HNRNPK'	0.23			
																		'ANKRD23'	0.23			
																		'PIGM'	0.23			
																		'TNFRSF21'	0.23			
																		'DDX46'	0.23			
																		'TRIT1'	0.23			
																		'RRNAD1'	0.23			
																		'DNHD1'	0.23			
																		'XYLT2'	0.23			
																		'UBN2'	0.23			
																		'PRRC1'	0.23			
																		'FAM175B'	0.23			
																		'GCLM'	0.23			
																		'RAD1'	0.23			
																		'ZC3HAV1'	0.23			
																		'TUBGCP3'	0.23			
																		'USP13'	0.23			
																		'DOCK6'	0.23			
																		'PPP4R2'	0.23			
																		'IWS1'	0.23			
																		'KBTBD4'	0.23			
																		'PLCL2'	0.23			
																		'TADA2A'	0.23			
																		'RALGAPB'	0.23			
																		'FAM193A'	0.23			
																		'PAX8'	0.23			
																		'SRSF4'	0.23			
																		'GIGYF2'	0.23			
																		'MDC1'	0.23			
																		'ACP5'	0.23			
																		'LSM8'	0.23			
																		'SYT14'	0.23			
																		'DDX60L'	0.23			
																		'ITGB5'	0.23			
																		'OPLAH'	0.23			
																		'UPF3B'	0.23			
																		'DCTD'	0.23			
																		'SENP1'	0.23			
																		'FAM184B'	0.23			
																		'TGIF2'	0.23			
																		'DPP8'	0.23			
																		'ABHD13'	0.23			
																		'CD14'	0.23			
																		'ASB16-AS1'	0.23			
																		'ZNF23'	0.23			
																		'WDR4'	0.23			
																		'TRIM7'	0.23			
																		'POMZP3'	0.23			
																		'PLXDC2'	0.23			
																		'KCNK15'	0.23			
																		'ANKS6'	0.23			
																		'VPS33A'	0.23			
																		'ZNF282'	0.23			
																		'GCLC'	0.23			
																		'FTX'	0.23			
																		'VWA9'	0.23			
																		'NFS1'	0.23			
																		'ARFIP1'	0.23			
																		'PWAR5'	0.23			
																		'KCTD20'	0.23			
																		'SEC14L6'	0.23			
																		'GLRX'	0.23			
																		'NCALD'	0.23			
																		'C9orf156'	0.23			
																		'MVB12B'	0.23			
																		'SLC18B1'	0.23			
																		'FLNB'	0.23			
																		'SLC16A11'	0.23			
																		'LOC202181'	0.23			
																		'NFRKB'	0.23			
																		'ZNF195'	0.23			
																		'MYOM2'	0.23			
																		'OSBPL2'	0.23			
																		'FAM73A'	0.23			
																		'ANKRD37'	0.23			
																		'LRRC75B'	0.23			
																		'EXOSC4'	0.23			
																		'ACRBP'	0.23			
																		'USP42'	0.23			
																		'C3orf17'	0.23			
																		'SNN'	0.23			
																		'NALCN'	0.23			
																		'EPDR1'	0.23			
																		'BOLA3'	0.23			
																		'SNAP29'	0.23			
																		'SLC35A5'	0.23			
																		'PI4KAP2'	0.23			
																		'TRAK2'	0.23			
																		'SLC35E1'	0.23			
																		'WDR45B'	0.23			
																		'C15orf56'	0.23			
																		'PRR24'	0.23			
																		'HHAT'	0.23			
																		'MT1E'	0.23			
																		'KIF5A'	0.23			
																		'ELMOD2'	0.23			
																		'PTAR1'	0.23			
																		'HELZ2'	0.23			
																		'PEX7'	0.23			
																		'UTP23'	0.23			
																		'SSH1'	0.23			
																		'SAMD10'	0.23			
																		'GPD2'	0.23			
																		'HTR1F'	0.23			
																		'SNX12'	0.23			
																		'PPARD'	0.23			
																		'THOC6'	0.23			
																		'AGTPBP1'	0.23			
																		'OXSM'	0.23			
																		'ZNF778'	0.23			
																		'RPUSD2'	0.23			
																		'BRAP'	0.23			
																		'ZNF324'	0.23			
																		'VASN'	0.23			
																		'CCNL1'	0.23			
																		'SLC35E2B'	0.23			
																		'WDR90'	0.23			
																		'TRMT10A'	0.23			
																		'FAM120C'	0.23			
																		'NKRF'	0.23			
																		'NRL'	0.23			
																		'PCF11'	0.23			
																		'ABCB6'	0.23			
																		'NPC1'	0.23			
																		'GLB1L2'	0.23			
																		'KIAA2026'	0.23			
																		'CRIP3'	0.23			
																		'KRBOX4'	0.23			
																		'ZNF71'	0.23			
																		'AP3B1'	0.23			
																		'HIATL1'	0.23			
																		'METTL10'	0.23			
																		'NKAIN1'	0.23			
																		'ZNF341'	0.23			
																		'HMOX1'	0.23			
																		'ARMCX2'	0.23			
																		'CCSER1'	0.23			
																		'PDPK1'	0.23			
																		'SLC2A1'	0.23			
																		'WDFY3-AS2'	0.23			
																		'ITPR1'	0.23			
																		'DHX8'	0.23			
																		'XPNPEP1'	0.23			
																		'PRKAB2'	0.23			
																		'KDM1B'	0.23			
																		'SLC4A8'	0.23			
																		'RAMP2-AS1'	0.23			
																		'TAF2'	0.23			
																		'EFCAB11'	0.23			
																		'ZSCAN1'	0.23			
																		'ADAT1'	0.23			
																		'ZNF844'	0.23			
																		'TIMM10'	0.23			
																		'HMGN5'	0.23			
																		'NSMCE2'	0.23			
																		'SLC6A17'	0.23			
																		'NEURL2'	0.23			
																		'TMEM87B'	0.23			
