geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
			'ALDH1A1'	-0.637	-0.242										'HLA-B'	0.705	0.374	'RPL14'	0.59	2227235	1262186	3438
			'SCG3'	-0.642	-0.202										'GPAA1'	0.705	0.585	'RPL30'	0.59	1269322	807261	2146
			'PPP1CB'	-0.644	-0.524										'CPTP'	0.705	0.363	'COX8A'	0.59	2054965	1290415	3485
			'H2AFZ'	-0.65	-0.445										'YBX3'	0.705	0.061	'H2AFJ'	0.59	316436	123227	6616
			'SET'	-0.658	-0.575										'GSTP1'	0.704	0.168	'LEMD2'	0.59	1811545	945008	4928
			'CNBP'	-0.659	-0.432										'TMEM51'	0.704	0.353	'TSR3'	0.59	1553180	843646	2725
			'MARCH6'	-0.661	-0.459										'CBX6'	0.702	0.592	'RPL12'	0.59	2440866	1355867	4736
			'LAPTM4A'	-0.664	-0.438										'PNPLA2'	0.702	0.576	'MARK2'	0.59	2015204	1001025	6523
			'PDIA3'	-0.665	-0.442										'MZT2B'	0.701	0.627	'NUCB1'	0.59	414058	197950	5145
			'PCP4'	-0.665	-0.258										'TCEA2'	0.701	0.538	'CELF3'	0.59	2414674	1216908	4166
			'PRDX3'	-0.669	-0.474										'VAT1'	0.699	0.559	'TMEM54'	0.59	1820217	879322	5783
			'YWHAQ'	-0.686	-0.383										'EDF1'	0.698	0.608	'PTMS'	0.59	1874737	780394	5990
			'PDIA3P1'	-0.694	-0.451										'LRCH4'	0.698	0.574	'FAU'	0.59	1721161	1083602	5290
			'ENPP2'	-0.704	-0.321										'PPP2R4'	0.698	0.51	'RNF126'	0.59	2012799	889529	6156
			'SRP9'	-0.708	-0.605										'SLC39A3'	0.698	0.518	'GPAA1'	0.58	2077141	1228397	3474
			'SERINC1'	-0.714	-0.443										'PLD3'	0.697	0.593	'AKAP8L'	0.58	738575	5270	1204
			'TMEM59'	-0.723	-0.479										'RNPEPL1'	0.697	0.43	'RPS5'	0.58	1982698	1191172	4709
			'UBE2D3'	-0.728	-0.371										'FAU'	0.697	0.587	'MAZ'	0.58	277759	3077	1018
			'H3F3B'	-0.732	-0.536										'UBE2Z'	0.696	0.502	'MGAT4B'	0.58	1005344	553994	2488
			'B2M'	-0.734	-0.399										'SLC25A23'	0.695	0.417	'VWA1'	0.58	1462133	782574	5090
			'ATP6V1G1'	-0.743	-0.517										'SUPT5H'	0.694	0.511	'CALY'	0.58	1968301	890587	5059
			'NDUFA1'	-0.747	-0.49										'ZDHHC3'	0.694	0.306	'MINK1'	0.58	2342836	1299011	4368
			'TSPYL1'	-0.748	-0.553										'TPBG'	0.694	0.18	'RPS13'	0.58	1835294	768293	5112
			'CALM2'	-0.874	-0.741										'MAP2K2'	0.693	0.534	'TBC1D17'	0.58	1246793	555736	4936
															'HNRNPUL1'	0.693	0.571	'SZRD1'	0.58	2051099	1099660	4774
															'PGLS'	0.693	0.471	'RNF187'	0.58	1077866	433940	5503
															'MBD6'	0.693	0.501	'PNPLA2'	0.58	2342307	1369439	4970
